Temp_ID,Easting,Northing,Tree_Height,Crown_Diameter,Plot_Number,Date
392,477005.538,5429221.478,46.5,2.53,br01,2026-03-08
393,476959.145,5429119.92,32.0,0.9,br01,2026-03-08
394,476998.209,5429175.022,39.09,3.01,br01,2026-03-08
395,476987.81,5429140.049,33.84,2.44,br01,2026-03-08
396,476932.438,5429175.487,47.82,3.49,br01,2026-03-08
397,476953.938,5429138.774,33.71,3.03,br01,2026-03-08
398,476979.856,5429189.398,44.56,2.43,br01,2026-03-08
399,476931.283,5429133.144,33.97,1.32,br01,2026-03-08
400,476930.244,5429148.839,37.33,7.42,br01,2026-03-08
401,477005.407,5429189.976,37.38,3.97,br01,2026-03-08
402,476975.721,5429130.713,29.19,0.8,br01,2026-03-08
403,476940.763,5429126.344,36.15,1.28,br01,2026-03-08
404,476998.066,5429158.702,39.93,2.02,br01,2026-03-08
405,476982.808,5429181.573,40.68,2.36,br01,2026-03-08
406,477010.952,5429212.552,39.58,2.06,br01,2026-03-08
407,476927.118,5429141.419,35.22,1.56,br01,2026-03-08
408,477007.935,5429175.923,35.53,3.7,br01,2026-03-08
409,477011.124,5429193.669,34.67,2.79,br01,2026-03-08
410,476935.893,5429128.467,35.5,2.17,br01,2026-03-08
411,477020.152,5429232.29,39.02,4.01,br01,2026-03-08
412,477025.82,5429228.309,40.25,4.6,br01,2026-03-08
413,476923.703,5429139.021,34.47,3.53,br01,2026-03-08
414,476976.042,5429191.533,42.56,3.34,br01,2026-03-08
415,476931.748,5429134.351,34.69,1.02,br01,2026-03-08
416,476988.343,5429182.232,44.81,2.67,br01,2026-03-08
417,476930.783,5429134.507,34.55,2.03,br01,2026-03-08
418,477017.528,5429226.906,42.77,5.12,br01,2026-03-08
419,477022.025,5429217.282,37.89,3.65,br01,2026-03-08
420,476980.325,5429164.8,40.25,3.78,br01,2026-03-08
421,476923.581,5429142.241,34.92,3.37,br01,2026-03-08
422,476934.568,5429133.363,34.26,2.41,br01,2026-03-08
423,476950.797,5429124.217,32.46,1.13,br01,2026-03-08
424,476986.569,5429156.153,41.38,4.9,br01,2026-03-08
425,476927.616,5429139.624,34.34,2.17,br01,2026-03-08
426,476960.034,5429120.272,31.89,0.85,br01,2026-03-08
427,477015.665,5429189.955,34.81,2.77,br01,2026-03-08
428,476979.652,5429186.753,41.02,5.03,br01,2026-03-08
429,476934.591,5429180.624,48.92,1.98,br01,2026-03-08
430,476943.427,5429191.101,49.71,2.94,br01,2026-03-08
431,476973.964,5429139.876,36.27,2.38,br01,2026-03-08
432,476932.184,5429135.525,35.16,1.55,br01,2026-03-08
433,477001.75,5429171.528,37.74,1.38,br01,2026-03-08
434,476926.72,5429143.381,36.04,3.68,br01,2026-03-08
435,476992.487,5429161.888,39.44,1.35,br01,2026-03-08
436,476976.028,5429152.36,39.69,3.29,br01,2026-03-08
437,476946.519,5429140.954,34.21,3.06,br01,2026-03-08
438,477016.12,5429217.741,37.5,2.37,br01,2026-03-08
439,477004.406,5429203.249,42.23,1.67,br01,2026-03-08
440,476995.987,5429176.779,38.45,0.96,br01,2026-03-08
441,476926.56,5429171.447,46.4,2.63,br01,2026-03-08
442,477019.56,5429217.474,43.49,1.77,br01,2026-03-08
443,477009.429,5429240.546,42.63,4.87,br01,2026-03-08
